KodLan,NamSek,Rank,Jenjang,SubJenjang,Status,PD,Kec,KotKab,Kota,Provinsi,Alamat
20606750,SMPN 17 TANGERANG,,SMP,SMPN,Negeri,824,Tangerang,Kota,TANGERANG 2,Banten,
20100767,SMPN 170,,SMP,SMPN,Negeri,693,Kelapa Gading,Kota,JAKARTA UTARA,DKI Jakarta,
20103617,SMPN 171 JAKARTA,,SMP,SMPN,Negeri,881,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
20103616,SMPN 172,,SMP,SMPN,Negeri,0,Cakung,Kota,JAKARTA TIMUR 2,DKI Jakarta,
20100768,SMPN 173 JAKARTA,,SMP,SMPN,Negeri,0,Koja,Kota,JAKARTA UTARA,DKI Jakarta,
20103615,SMPN 174 Jakarta,,SMP,SMPN,Negeri,737,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
20101573,SMPN 176,,SMP,SMPN,Negeri,704,Cengkareng,Kota,JAKARTA BARAT,DKI Jakarta,
20102526,SMPN 177,,SMP,SMPN,Negeri,998,Pesanggrahan,Kota,JAKARTA SELATAN 1,DKI Jakarta,
20102525,SMPN 178,,SMP,SMPN,Negeri,842,Pesanggrahan,Kota,JAKARTA SELATAN 1,DKI Jakarta,
20103614,SMPN 179 JAKARTA,,SMP,SMPN,Negeri,994,Pasar Rebo,Kota,JAKARTA TIMUR 1,DKI Jakarta,
20100232,SMPN 18,,SMP,SMPN,Negeri,760,Menteng,Kota,JAKARTA PUSAT,DKI Jakarta,
20270493,SMPN 18 DEPOK,,SMP,SMPN,Negeri,941,Bojongsari,Kota,DEPOK 1,Jawa Barat,
20222962,SMPN 18 KOTA BEKASI,,SMP,SMPN,Negeri,0,Bekasi Timur,Kota,BEKASI,Jawa Barat,
20220383,SMPN 18 KOTA BOGOR,,SMP,SMPN,Negeri,927,Bogor Timur,Kota,BOGOR,Jawa Barat,
20605177,SMPN 18 Kota Serang,,SMP,SMPN,Negeri,789,Walantaka,Kota,SERANG,Banten,
60726804,SMPN 18 KOTA TANGERANG SELATAN,,SMP,SMPN,Negeri,0,Pamulang,Kota,TANGERANG SELATAN,Banten,
20606761,SMPN 18 TANGERANG,,SMP,SMPN,Negeri,1051,Cipondoh,Kota,TANGERANG 1,Banten,
20109257,SMPN 180 Jakarta,,SMP,SMPN,Negeri,586,Cipayung,Kota,JAKARTA TIMUR 1,DKI Jakarta,
20100233,SMPN 181 JAKARTA,,SMP,SMPN,Negeri,633,Tanah Abang,Kota,JAKARTA PUSAT,DKI Jakarta,
20102524,SMPN 182,,SMP,SMPN,Negeri,923,Pancoran,Kota,JAKARTA SELATAN 2,DKI Jakarta,
20100235,SMPN 183,,SMP,SMPN,Negeri,582,Kemayoran,Kota,JAKARTA PUSAT,DKI Jakarta,
20103612,SMPN 184 JAKARTA,,SMP,SMPN,Negeri,1001,Pasar Rebo,Kota,JAKARTA TIMUR 1,DKI Jakarta,
20102523,SMPN 185,,SMP,SMPN,Negeri,538,Kebayoran Lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
20101572,SMPN 186,,SMP,SMPN,Negeri,880,Kali Deres,Kota,JAKARTA BARAT,DKI Jakarta,
20101571,SMPN 187 JAKARTA,,SMP,SMPN,Negeri,0,Kali Deres,Kota,JAKARTA BARAT,DKI Jakarta,
20103611,SMPN 188 Jakarta,,SMP,SMPN,Negeri,535,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
20101570,SMPN 189,,SMP,SMPN,Negeri,0,Kebon Jeruk,Kota,JAKARTA BARAT,DKI Jakarta,
20222961,SMPN 19 BEKASI,,SMP,SMPN,Negeri,0,Medan Satria,Kota,BEKASI,Jawa Barat,
20220375,SMPN 19 BOGOR,,SMP,SMPN,Negeri,958,Bogor Utara,Kota,BOGOR,Jawa Barat,
69786277,SMPN 19 DEPOK,,SMP,SMPN,Negeri,1194,Pancoran Mas,Kota,DEPOK 1,Jawa Barat,
20605165,SMPN 19 KOTA SERANG,,SMP,SMPN,Negeri,490,Walantaka,Kota,SERANG,Banten,
60725776,SMPN 19 KOTA TANGERANG SELATAN,,SMP,SMPN,Negeri,741,Serpong,Kota,TANGERANG SELATAN,Banten,
20606760,SMPN 19 TANGERANG,,SMP,SMPN,Negeri,843,Cibodas,Kota,TANGERANG 2,Banten,
