KodLan,NamSek,Rank,Jenjang,SubJenjang,Status,PD,Kec,KotKab,Kota,Provinsi,Alamat
20102557, SMK BUNDA KANDUNG,,SMK,SMK,Swasta,0,Pasar Minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
10000063,2MADISON ART GALLERY & CAFE,,Umum,Umum,Pelatihan,0,Mampang Prapatan,Kota,JAKARTA SELATAN 2,DKI Jakarta,
ERLGRP007,AKBAR G W,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
19,AKBAR G W,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
69982759,MIS AL HIDAYAH,,SD,MIS,Swasta,107,Tanah sareal,Kota,BOGOR,Jawa Barat,
69976194,MIS AL MANAR SUKAMAKMUR,,SD,MIS,Swasta,76,Sukamakmur,Kab,BOGOR 2,Jawa Barat,
69956128,MIS AL SAFARA,,SD,MIS,Swasta,0,Gunung Putri,Kab,BOGOR 1,Jawa Barat,
69982754,MIS AL- HABIBAH,,SD,MIS,Swasta,36,Tanjung Sari,Kab,BOGOR 2,Jawa Barat,
69982911,MIS AL-HIKAM GOBANG,,SD,MIS,Swasta,0,Rumpin,Kab,BOGOR 2,Jawa Barat,
69976196,MIS AL-JUHDIYYAH,,SD,MIS,Swasta,98,Ciseeng,Kab,BOGOR 2,Jawa Barat,
69976200,MIS AL-QOLAM,,SD,MIS,Swasta,0,Cibungbulang,Kab,BOGOR 2,Jawa Barat,
10000064,SD AL-WILDAN ISLAMIC SCHOOL 16,,SD,SDS,Swasta,115,Ciledug,Kota,TANGERANG 1,Banten," Jl. Raden Fatah, RT.001/RW.006, Sudimara Bar., Kec. Ciledug, Kota Tangerang, Banten 15151"
69899632,MIS AN NUR,,SD,MIS,Swasta,110,Pamijahan,Kab,BOGOR 2,Jawa Barat,
ERLGRP001,MIS AN. HARDIAN T.P,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
13,MIS AN. HARDIAN T.P,,SD,MIS,Swasta,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
69956190,MIS ANDINA,,SD,MIS,Swasta,87,Bogor Timur,Kota,BOGOR,Jawa Barat,
69976198,MIS  ANNUR CIKAHURIPAN,,SD,MIS,Swasta,391,Klapanunggal,Kab,BOGOR 2,Jawa Barat,
69956130,MIS  AR-RAHMAN,,SD,MIS,Swasta,317,Gunung sindur,Kab,BOGOR 2,Jawa Barat,
69982755,MIS  AR-RIZQO,,SD,MIS,Swasta,329,Ciseeng,Kab,BOGOR 2,Jawa Barat,
ERLGRP002,ARSYASATIA BILAL IRVING AKBAR,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
14,ARSYASATIA BILAL IRVING AKBAR,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
69956186,MIS AS-SYADZILIYAH,,SD,MIS,Swasta,52,Cikarang Barat,Kab,BEKASI,Jawa Barat,
69963428,MIS  ASSALSABILA,,SD,MIS,Swasta,85,Jawilan,Kab,SERANG,Banten,
70005567,MIS ASY-SYIFA NIHAYATUL AMAL,,SD,MIS,Swasta,17,Pebayuran,Kab,BEKASI,Jawa Barat,
EDITOR004,AULIA DWININGTYAS PUTRI,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
4,AULIA DWININGTYAS PUTRI,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
EDITOR001,BAMBANG SUTRISNO,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
1,BAMBANG SUTRISNO,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
69963427,BANI HUSEN PICUNG,,SD,MIS,Swasta,92,Tiga Raksa,Kab,TANGERANG,Banten,
ERLGRP009,BELLA,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
21,BELLA,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
EDITOR010,BONDAN AJIDEWANTARA,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
10,BONDAN AJIDEWANTARA,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
69825415,SDS CAHAYA KHALIFAH SCHOOL,,SD,SDS,Swasta,25,Beji,Kota,DEPOK 2,Jawa Barat,
69993596,MIS DAARUSSHOFA,,SD,MIS,Swasta,124,Karang tengah,Kota,TANGERANG 1,Banten,"Jl. Raden Saleh No.60, RT.001/RW.015, Karang Tengah, Kec. Karang Tengah, Kota Tangerang, Banten 15157"
69956191,MIS  DARUL MA WA KOTA BOGOR,,SD,MIS,Swasta,205,Bogor Timur,Kota,BOGOR,Jawa Barat,
69956195,MIS  DARUL ULUM,,SD,MIS,Swasta,412,Bantargebang,Kota,BEKASI,Jawa Barat,
69993968,MIS  DARUL ULUM MUSTIKAJAYA,,SD,MIS,Swasta,49,Mustika Jaya,Kota,BEKASI,Jawa Barat,
69956184,MIS  DARUSSALAM,,SD,MIS,Swasta,134,Pebayuran,Kab,BEKASI,Jawa Barat,
EDITOR006,DEA ANGGRAINI,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
6,DEA ANGGRAINI,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
ERLGRP008,DELISA AULIA,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
20,DELISA AULIA,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
EDITOR005,DESSY CITRA PERTIWI,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
5,DESSY CITRA PERTIWI,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
ERLGRP006,DIMAS RADITYA NUGROHO,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
18,DIMAS RADITYA NUGROHO,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
10000048,EINSTEIN SCIENCE PROJECT,,Umum,Umum,Umum,10,Mampang Prapatan,Kota,JAKARTA SELATAN 2,DKI Jakarta,
ERLBKS,ERLANGGA CAB. BEKASI,,Peror,Peror,Peror,,Bekasi Selatan,Kota,BEKASI,Jawa Barat,
ERLDPK,ERLANGGA CAB. DEPOK,,Peror,Peror,Peror,,Pamulang,Kota,TANGERANG SELATAN,Banten,
10000065,ERLANGGA CAB. YOGYAKARTA,,Peror,Peror,Peror,,Kotagede,Kota,YOGYAKARTA,Jawa Tengah,
10000066,ERLANGGA CAB. BANDUNG,,Peror,Peror,Peror,,Buahbatu,Kota,Bandung,Jawa Barat,
10000067,ERLANGGA PUSAT,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
10000044,ERLASS POP,,Umum,Umum,Swasta,0,Pasar Minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,"Pejaten Office Park Blok D, Jl. WarungBuncit Raya no. 79, RT.1/RW.7, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790"
70008608,MIS FAHMIL QUR'AN,,SD,MIS,Swasta,104,Cilodong,Kota,DEPOK 2,Jawa Barat,
69994721,MIS  FATIMATUL JAHROH,,SD,MIS,Swasta,81,Cikande,Kab,SERANG,Banten,
10000022,FKKS JAKARTA TIMUR,,SMP,MTS,Swasta,0,Cakung,Kota,JAKARTA TIMUR 2,DKI Jakarta,
10000023,FKKS MTS JAKARTA UTARA,,SMP,MTS,Swasta,0,Cilincing,Kota,JAKARTA UTARA,DKI Jakarta,
69956192,MIS  IBRUL ULAMA,,SD,MIS,Swasta,254,Tanah sareal,Kota,BOGOR,Jawa Barat,
90101136,SD Highscope Indonesia Jakarta - Cilandak,,SD,PAUD,Swasta,30,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
10000025,HIMPAUDI KEC. PAMULANG,,SD,PAUD,Swasta,0,Pamulang,Kota,TANGERANG SELATAN,Banten,
10000029,HIMPAUDI TANAH SAREAL,,TK,TKS,Swasta,0,Tanah Sareal,Kota,BOGOR,Jawa Barat,
EDITOR003,HINDRINA PERDHANA SARI,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
3,HINDRINA PERDHANA SARI,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
10000036,HRD PUSAT (ANAK KARYAWAN ERLANGGA GROUP),,Peror,Peror,Swasta,40,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
70003031,MIS IBROHIMIYAH BEKASI,,SD,MIS,Swasta,20,Sukatani,Kab,BEKASI,Jawa Barat,
10000041,IGTK Kota Tangerang,,TK,TKS,Swasta,,Tangerang,Kota,TANGERANG 2,Banten,
70045170,SD GANTARI ISLAMIC SCHOOL,,SD,SDI,Swasta,85,Kelapa Dua,Kota,TANGERANG 2,Banten,"Jl. Pajajaran Raya No.52, Bencongan Indah, Kec. Klp. Dua, Kabupaten Tangerang, Banten 15138"
10000030,IGTK PASAR MINGGU,,TK,TKS,Swasta,0,Pasar Minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
69976193,MIS INSAN MUMAYAZ,,SD,MIS,Swasta,0,Pamijahan,Kab,BOGOR 2,Jawa Barat,
90101092,SD Jakarta Taipei School,,SD,SDS,Swasta,58,Kelapa Gading,Kota,JAKARTA UTARA,DKI Jakarta,
69956125,MIS  JAMIATUL KHAIR,,SD,MIS,Swasta,45,Penjaringan,Kota,JAKARTA UTARA,DKI Jakarta,
ERLGRP010,KANAMI ANJAR FAHIRA,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
22,KANAMI ANJAR FAHIRA,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
10000039,Kantor Cabang Strada Tangerang,,Yayasan,Yayasan,Swasta,,Neglasari,Kota,TANGERANG 2,Banten,
10000040,Kantor Dinas Pendidikan DKI,,Dinas,Dinas,Negeri,,Setiabudi,Kota,JAKARTA SELATAN 1,DKI Jakarta,
69769201,KB JAMIATUL ULUM,,SD,PAUD,Swasta,,Teluk Naga,Kota,TANGERANG 2,Banten,
ERLGRP011,KEYKA AZANI K K,,Peror,Peror,Peror,0,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
23,KEYKA AZANI K K,,Peror,Peror,Peror,,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
69956188,MIS KHOIRU UMMAH,,SD,MIS,Swasta,160,Cikarang Selatan,Kab,BEKASI,Jawa Barat,
69956131,MIS KHOIRUL HUDA,,SD,MIS,Swasta,103,Pamijahan,Kab,BOGOR 2,Jawa Barat,
10000026,KKMI CIPONDOH TANGERANG,,SD,MI,Swasta,0,Cipondoh,Kota,TANGERANG 1,Banten,
69995342,MIS  L QURA,,SD,MIS,Swasta,172,Pamulang,Kota,TANGERANG SELATAN,Banten,
20277149,MAS AL HAMIDIYAH,,MA,MAS,Swasta,100,Pancoran Mas,Kota,DEPOK 1,Jawa Barat,
69982913,LUHUR BUDI NURJAYA,,SD,MIS,Swasta,120,Pamijahan,Kab,BOGOR 2,Jawa Barat,
69982751,MIS MARDHOTILLAH,,SD,MIS,Swasta,127,Pasar rebo,Kota,JAKARTA TIMUR 1,DKI Jakarta,
20277148,MAS AL AWWABIN,,SMA,MAS,Swasta,88,Pancoran Mas,Kota,DEPOK 1,Jawa Barat,
20280064,MAS AL IMAROH,,SMA,MAS,Swasta,495,Cikarang Barat,Kab,BEKASI,Jawa Barat,
20623299,MAS MANBAUL KHAIR,,SMA,MAS,Swasta,40,Larangan,Kota,TANGERANG 1,Banten,
69726159,MIS MATHLAUL ANWAR,,SD,MIS,Swasta,0,Cibinong,Kab,BOGOR 1,Jawa Barat,
60704604,MIS MATHLAUL ANWAR,,SD,MIS,Swasta,0,Cigudeg,Kab,BOGOR 2,Jawa Barat,
69894729,MIS MATHLAUL ANWAR CIDAHU,,SD,MIS,Swasta,117,Kopo,Kab,SERANG,Banten,
69894726,MIS MATHLAUL ANWAR SANGIANG,,SD,MIS,Swasta,224,Sepatan timur,Kab,TANGERANG,Banten,
60728722,MIS  MATHLAUL HUDA,,SD,MIS,Swasta,157,Mekar baru,Kab,TANGERANG,Banten,
60706120,MIS MI AL ANWAR,,SD,MIS,Swasta,252,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706130,MI AL BARKAH,,SD,MIS,Swasta,85,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706175,MI AL BARKAH,,SD,MIS,Swasta,120,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706224,MI AL BARKAH,,SD,MIS,Swasta,149,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706154,MI AL FALAH,,SD,MIS,Swasta,509,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706323,MI AL FALAH KLENDER,,SD,MIS,Swasta,0,Duren sawit,Kota,JAKARTA TIMUR 2,DKI Jakarta,
69993972,MI AL FALAH PADURENAN,,SD,MIS,Swasta,106,Mustika Jaya,Kota,BEKASI,Jawa Barat,
60706205,MI AL FALAH PAGI,,SD,MIS,Swasta,849,Pancoran,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706158,MI AL FALAHIYYAH,,SD,MIS,Swasta,136,Kebayoran baru,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706168,MI AL FAUZAIN,,SD,MIS,Swasta,101,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706199,MI AL FURQON,,SD,MIS,Swasta,150,Pancoran,Kota,JAKARTA SELATAN 2,DKI Jakarta,
69975759,MI AL GIVARI,,SD,MIS,Swasta,76,Cilincing,Kota,JAKARTA UTARA,DKI Jakarta,
60706376,MI AL HASANIYAH,,SD,MIS,Swasta,107,Cipayung,Kota,JAKARTA TIMUR 1,DKI Jakarta,
60706174,MI AL HIDAYAH,,SD,MIS,Swasta,465,Pesanggrahan,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706185,MI AL HIDAYATUL ISLAMIYAH,,SD,MIS,Swasta,133,Mampang prapatan,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706221,MI AL HIDAYATUSSALAFIYAH,,SD,MIS,Swasta,255,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706200,MI AL HIKMAH,,SD,MIS,Swasta,132,Pancoran,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706234,MI AL HIKMAH,,SD,MIS,Swasta,276,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706190,MI AL HIKMAH PAGI,,SD,MIS,Swasta,516,Mampang prapatan,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706125,MI AL HURRIYAH 1,,SD,MIS,Swasta,336,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706132,MI AL HUSNA,,SD,MIS,Swasta,254,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706261,MI AL HUSNA,,SD,MIS,Swasta,109,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706121,MI AL IHSAN,,SD,MIS,Swasta,158,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706167,MI AL IKHLAS,,SD,MIS,Swasta,94,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706230,MI AL IKHLASH,,SD,MIS,Swasta,125,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706151,MI AL ISLAMIYAH,,SD,MIS,Swasta,188,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706202,MI AL ISLAMIYAH,,SD,MIS,Swasta,275,Pancoran,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706378,MI AL KENANIYAH,,SD,MIS,Swasta,232,Pulo gadung,Kota,JAKARTA TIMUR 2,DKI Jakarta,
60706153,MI AL KHAIRIYAH,,SD,MIS,Swasta,115,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706233,MI AL MA`MURIYAH,,SD,MIS,Swasta,134,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
69819497,MI AL MADINAH,,SD,MIS,Swasta,39,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706147,MI AL MAHAD AL ISLAMY,,SD,MIS,Swasta,408,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706166,MI AL MUBAROKAH,,SD,MIS,Swasta,181,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706329,MI AL WASHLIYAH,,SD,MIS,Swasta,259,Duren sawit,Kota,JAKARTA TIMUR 2,DKI Jakarta,
60706331,MI AL WATHONIYAH 2,,SD,MIS,Swasta,182,Duren sawit,Kota,JAKARTA TIMUR 2,DKI Jakarta,
60706161,MI AL- KARIMIYAH,,SD,MIS,Swasta,211,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706165,MI AL-ASYIROTUSSYAFI`IYYAH,,SD,MIS,Swasta,123,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
69977976,MI AL-FADHILIYAH,,SD,MIS,Swasta,211,Benda,Kota,TANGERANG 2,Banten,
60706129,MI AL-HIDAYAH,,SD,MIS,Swasta,252,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706169,MI AL-KHAIRIYAH,,SD,MIS,Swasta,382,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
69827715,MI AL-KHAIRIYAH JATI CAKUNG,,SD,MIS,Swasta,143,Anyar,Kab,SERANG,Banten,
69827714,MI AL-KHAIRIYAH PALEMBANGAN,,SD,MIS,Swasta,273,Kragilan,Kab,SERANG,Banten,
69957775,MI AN NAHL,,SD,MIS,Swasta,0,Kembangan,Kota,JAKARTA BARAT,DKI Jakarta,
60706264,MI AN NURIYAH,,SD,MIS,Swasta,161,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706220,MI ASASUL ISLAM,,SD,MIS,Swasta,113,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706255,MI ASSA`DIYAH,,SD,MIS,Swasta,210,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706217,MI ASSALAM,,SD,MIS,Swasta,244,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
69977980,MI ASSALIM,,SD,MIS,Swasta,388,Balaraja,Kab,TANGERANG,Banten,
60706263,MI ASY-SYAFIIYAH,,SD,MIS,Swasta,90,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706250,MI AT TAUFIEQ,,SD,MIS,Swasta,111,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
69977983,MI AT-TAMAM,,SD,MIS,Swasta,368,Sindang jaya,Kab,TANGERANG,Banten,
60706192,MI AT-TAQWA,,SD,MIS,Swasta,472,Mampang prapatan,Kota,JAKARTA SELATAN 2,DKI Jakarta,
69977952,MI ATS-TSAUROH,,SD,MIS,Swasta,97,Serang,Kota,SERANG,Banten,
60706254,MI ATTAHIRIYAH,,SD,MIS,Swasta,104,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
69977982,MI AWALUL HUDA,,SD,MIS,Swasta,73,Gunung kaler,Kab,TANGERANG,Banten,
20177825,MI AZ ZIYADAH,,SD,MIS,Swasta,207,Duren sawit,Kota,JAKARTA TIMUR 2,DKI Jakarta,
69957777,MI AZZAROFAH,,SD,MIS,Swasta,134,Cipayung,Kota,JAKARTA TIMUR 1,DKI Jakarta,
69827670,MI BABUSSALAM,,SD,MIS,Swasta,0,Teluk Naga,Kab,TANGERANG,Banten,
69977354,MI BACHRUL ILMI AL-AMIN,,SD,MIS,Swasta,0,Cilincing,Kota,JAKARTA UTARA,DKI Jakarta,
60706195,MI BAIT AL RAHMAN,,SD,MIS,Swasta,271,Pancoran,Kota,JAKARTA SELATAN 2,DKI Jakarta,
69977967,MI BANI MUBAROK,,SD,MIS,Swasta,65,Petir,Kab,SERANG,Banten,
60706172,MI DAARUL AITAM,,SD,MIS,Swasta,130,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706203,MI DAARUL ULUM,,SD,MIS,Swasta,103,Pancoran,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706252,MI DAARUL ULUUM,,SD,MIS,Swasta,252,Setiabudi,Kota,JAKARTA SELATAN 1,DKI Jakarta,"Jl. Pancoran Barat III No.60 2, RT.2/RW.6, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780"
60706144,MI DAARUSSALAAM,,SD,MIS,Swasta,386,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706229,MI DARUL MUTTAQIN,,SD,MIS,Swasta,245,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706124,MI DARUS SALAM,,SD,MIS,Swasta,128,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706177,MI DARUSSA`ADAH,,SD,MIS,Swasta,182,Mampang prapatan,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706140,MI EL SYIFA,,SD,MIS,Swasta,622,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
69819498,MI EMIRATTES AL MUSHONNIF ISLAMIC SCHOOL,,SD,MIS,Swasta,69,Kebayoran baru,Kota,JAKARTA SELATAN 2,DKI Jakarta,"Jl. H. Syahrin No.7 7, RT.7/RW.7, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140"
60706196,MI FATAHILLAH,,SD,MIS,Swasta,574,Pancoran,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706214,MI FATHURRACHMAN,,SD,MIS,Swasta,111,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706135,MI HANANI ULFA,,SD,MIS,Swasta,135,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706228,MI HIDAYATUL ANAM,,SD,MIS,Swasta,185,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706536,MI HIDAYATUL ANAM,,SD,MIS,Swasta,77,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706219,MI HIDAYATUL ISLAMIYAH,,SD,MIS,Swasta,176,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706482,MI HIDAYATUL ISTIQOMAH,,SD,MIS,Swasta,710,Kembangan,Kota,JAKARTA BARAT,DKI Jakarta,
60706133,MI HIDAYATUT THALIBIN,,SD,MIS,Swasta,201,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706207,MI IANATUL FALAH,,SD,MIS,Swasta,95,Pancoran,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706258,MI IRSYADUL KHAIR,,SD,MIS,Swasta,82,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706143,MI MADARIJUT THALIBIN,,SD,MIS,Swasta,371,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,"Gg. Kancil I No.34, RT.4/RW.2, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610"
60706131,MI MANARATUL ISLAM,,SD,MIS,Swasta,446,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706160,MI MANBA`UL HIDAYAH,,SD,MIS,Swasta,14,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
69975760,MI MI TERPADU AL IRSYAAD,,SD,MIS,Swasta,0,Kembangan,Kota,JAKARTA BARAT,DKI Jakarta,
60706162,MI MIFTAHUL FALAH,,SD,MIS,Swasta,268,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706266,MI MIFTAHUL HUDA,,SD,MIS,Swasta,49,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706193,MI MIFTAHUL JANNAH,,SD,MIS,Swasta,126,Mampang prapatan,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706127,MI MIFTAHUL UMAM,,SD,MIS,Swasta,320,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
69827719,MI MUSLIM ASIA AFRIKA,,SD,MIS,Swasta,189,Pamulang,Kota,TANGERANG SELATAN,Banten,
69957776,MI NIDAAUL UMMAH,,SD,MIS,Swasta,119,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
60706164,MI NURUL FALAH,,SD,MIS,Swasta,144,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706128,MI NURUL HUDA,,SD,MIS,Swasta,361,Cilandak,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706157,MI NURUL HUDA,,SD,MIS,Swasta,158,Kebayoran baru,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706191,MI NURUL HUDA,,SD,MIS,Swasta,134,Mampang prapatan,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706211,MI NURUL HUDA,,SD,MIS,Swasta,69,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706226,MI NURUL HUDA,,SD,MIS,Swasta,577,Pasar minggu,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706146,MI NURUL IMAN,,SD,MIS,Swasta,104,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706265,MI NURUL ISLAM,,SD,MIS,Swasta,140,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706257,MI NURUL JIHAD,,SD,MIS,Swasta,159,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706256,MI NURUL MUTTAQIEN,,SD,MIS,Swasta,161,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706206,MI NURUN NAJAH,,SD,MIS,Swasta,102,Pancoran,Kota,JAKARTA SELATAN 2,DKI Jakarta,
69827718,MI NURUN NAJAH II,,SD,MIS,Swasta,77,Ciputat timur,Kota,TANGERANG SELATAN,Banten,
60706141,MI NURUNNAJAH,,SD,MIS,Swasta,29,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706142,MI NURUSSAADAH,,SD,MIS,Swasta,355,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
60706171,MI NURUSSALAM,,SD,MIS,Swasta,167,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
69894736,MI NURUSSALAM,,SD,MIS,Swasta,320,Cipondoh,Kota,TANGERANG 1,Banten,
60706173,MI PEMBANGUNAN UIN,,SD,MIS,Swasta,1327,Kebayoran lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
60706485,MI PEMBANGUNAN YAPIRI,,SD,MIS,Swasta,222,Kembangan,Kota,JAKARTA BARAT,DKI Jakarta,
69994608,MI PLUS AL ISLAMIYYAH,,SD,MIS,Swasta,173,Cipondoh,Kota,TANGERANG 1,Banten,
70033067,MI PLUS AL-MADANI,,SD,MIS,Swasta,0,Batuceper,Kota,TANGERANG 1,Banten,
